"Story","Title","Result","Date","Stability","Duration (s)"
"Busquedas en dogpile","Buscar resultados relevantes","SUCCESS","2020-09-21T17:35:33.1245628-03:00[America/Buenos_Aires]","0.0","28.83"
"Busquedas en dogpile","Verificar que los resultados con texto relevante al titulo","ERROR","2020-09-21T17:36:10.3455657-03:00[America/Buenos_Aires]","0.0","43.78"
